Term                          IDF            TF-IDF         
------------------------------------------------------------
авиалайнер                    0.000000       0.000000       
австралия                     0.000000       0.000000       
автоваз                       0.000000       0.000000       
автомат                       0.000000       0.000000       
автопроизводитель             0.000000       0.000000       
автор                         0.000000       0.000000       
администрация                 0.000000       0.000000       
адрес                         0.000000       0.000000       
альтман                       3.506558       0.014796       
америка                       0.000000       0.000000       
аналитик                      0.000000       0.000000       
аналогичный                   3.912023       0.008253       
аспект                        4.605170       0.009716       
баланс                        3.506558       0.014796       
белок                         0.000000       0.000000       
биологический                 0.000000       0.000000       
битва                         4.605170       0.019431       
ближний                       0.000000       0.000000       
близкий                       2.813411       0.005935       
блог                          0.000000       0.000000       
будущее                       3.218876       0.013582       
быстро                        0.000000       0.000000       
быть                          0.000000       0.000000       
вес                           0.000000       0.000000       
весь                          0.000000       0.000000       
видеокарта                    0.000000       0.000000       
вложение                      4.605170       0.009716       
вложить                       4.605170       0.009716       
внедорожник                   0.000000       0.000000       
войти                         0.000000       0.000000       
восток                        0.000000       0.000000       
время                         1.427116       0.006022       
встречный                     4.605170       0.019431       
входить                       0.000000       0.000000       
выделить                      0.000000       0.000000       
вызвать                       3.506558       0.007398       
выступать                     4.605170       0.009716       
выходить                      0.000000       0.000000       
главный                       0.000000       0.000000       
год                           0.000000       0.000000       
гонсалес                      4.605170       0.019431       
готовый                       1.237874       0.002612       
графика                       3.218876       0.013582       
данные                        0.000000       0.000000       
двигатель                     0.000000       0.000000       
двигаться                     3.506558       0.007398       
дело                          1.108663       0.009356       
дизайн                        0.000000       0.000000       
директор                      0.000000       0.000000       
договор                       3.912023       0.008253       
договорённость                4.605170       0.019431       
долгий                        4.605170       0.009716       
доллар                        0.000000       0.000000       
дом                           0.000000       0.000000       
доставить                     0.000000       0.000000       
достаточно                    2.525729       0.010657       
достигать                     0.000000       0.000000       
завершить                     0.000000       0.000000       
задать                        3.912023       0.008253       
замедление                    4.605170       0.019431       
запас                         2.120264       0.004473       
запланировать                 3.912023       0.008253       
запрет                        4.605170       0.009716       
запускать                     2.813411       0.005935       
захват                        3.912023       0.008253       
защита                        0.000000       0.000000       
заявить                       3.912023       0.008253       
земля                         0.000000       0.000000       
