Term                          IDF            TF-IDF         
------------------------------------------------------------
аварии                        2.813411       0.008737       
авиалайнера                   0.000000       0.000000       
австралии                     0.000000       0.000000       
автоваз                       0.000000       0.000000       
автоматом                     0.000000       0.000000       
автопроизводителя             0.000000       0.000000       
автор                         0.000000       0.000000       
авторы                        0.000000       0.000000       
администрацией                0.000000       0.000000       
администрация                 3.218876       0.009997       
адрес                         0.000000       0.000000       
америке                       0.000000       0.000000       
аналитики                     0.000000       0.000000       
белка                         0.000000       0.000000       
биологические                 0.000000       0.000000       
биологических                 0.000000       0.000000       
ближнем                       0.000000       0.000000       
блоги                         0.000000       0.000000       
будут                         0.000000       0.000000       
быстро                        0.000000       0.000000       
важен                         3.912023       0.012149       
весом                         0.000000       0.000000       
видео                         0.000000       0.000000       
видеокарты                    0.000000       0.000000       
внедорожники                  0.000000       0.000000       
войти                         0.000000       0.000000       
востоке                       0.000000       0.000000       
время                         1.427116       0.004432       
вс                            0.000000       0.000000       
всему                         0.000000       0.000000       
вт                            0.000000       0.000000       
входят                        0.000000       0.000000       
выделите                      0.000000       0.000000       
выходит                       0.000000       0.000000       
генеральный                   2.995732       0.009304       
германии                      2.995732       0.009304       
главную                       0.000000       0.000000       
года                          0.000000       0.000000       
данные                        0.000000       0.000000       
данный                        0.000000       0.000000       
данных                        0.000000       0.000000       
двигатели                     0.000000       0.000000       
двигатель                     0.000000       0.000000       
двух                          0.000000       0.000000       
дженсен                       3.912023       0.012149       
дизайн                        0.000000       0.000000       
директор                      0.000000       0.000000       
долларов                      0.000000       0.000000       
долю                          3.506558       0.010890       
дом                           0.000000       0.000000       
доставили                     0.000000       0.000000       
достигает                     0.000000       0.000000       
другими                       3.506558       0.010890       
единиц                        2.995732       0.009304       
ещё                           1.897120       0.005892       
её                            1.203973       0.003739       
завершат                      0.000000       0.000000       
заморозило                    3.506558       0.010890       
запуск                        1.272966       0.003953       
зарабатывает                  4.605170       0.014302       
защиты                        0.000000       0.000000       
земле                         0.000000       0.000000       
земли                         0.000000       0.000000       
зонд                          0.000000       0.000000       
зонда                         0.000000       0.000000       
игры                          0.000000       0.000000       
изменение                     4.605170       0.014302       
ии                            0.000000       0.000000       
инновационный                 0.000000       0.000000       
информации                    0.000000       0.000000       
использования                 0.000000       0.000000       
использовать                  2.525729       0.007844       
исследований                  0.000000       0.000000       
источник                      0.000000       0.000000       
календарь                     0.000000       0.000000       
категории                     0.000000       0.000000       
качестве                      2.813411       0.008737       
кг                            0.000000       0.000000       
километров                    0.000000       0.000000       
китайский                     2.813411       0.008737       
китая                         2.995732       0.009304       
класса                        4.605170       0.014302       
классическим                  0.000000       0.000000       
клон                          0.000000       0.000000       
количества                    3.912023       0.012149       
комментирования               0.000000       0.000000       
компания                      0.820981       0.002550       
комфортный                    0.000000       0.000000       
конференция                   0.000000       0.000000       
корее                         0.000000       0.000000       
корпуса                       0.000000       0.000000       
космос                        0.000000       0.000000       
космоса                       0.000000       0.000000       
коснётся                      4.605170       0.014302       
которые                       1.309333       0.004066       
кроссовера                    0.000000       0.000000       
кроссоверы                    0.000000       0.000000       
кубических                    0.000000       0.000000       
куки                          0.000000       0.000000       
купить                        3.218876       0.009997       
летать                        0.000000       0.000000       
лету                          0.000000       0.000000       
листа                         0.000000       0.000000       
львиную                       4.605170       0.014302       
мае                           0.000000       0.000000       
май                           0.000000       0.000000       
марка                         0.000000       0.000000       
материалов                    0.000000       0.000000       
машину                        0.000000       0.000000       
мая                           0.000000       0.000000       
межпланетный                  0.000000       0.000000       
менее                         2.207275       0.006855       
меняет                        0.000000       0.000000       
менять                        3.912023       0.012149       
метрового                     0.000000       0.000000       
миллионов                     0.000000       0.000000       
минимум                       2.659260       0.008259       
миру                          0.000000       0.000000       
мобильные                     0.000000       0.000000       
могут                         0.000000       0.000000       
модели                        1.139434       0.003539       
момент                        0.000000       0.000000       
монеты                        3.912023       0.012149       
мониторы                      0.000000       0.000000       
мотобрендов                   0.000000       0.000000       
мотоциклов                    0.000000       0.000000       
мс                            0.000000       0.000000       
мультимедиа                   0.000000       0.000000       
нажмите                       0.000000       0.000000       
назвал                        0.000000       0.000000       
названием                     0.000000       0.000000       
настоящее                     4.605170       0.014302       
начинают                      3.218876       0.009997       
нашей                         0.000000       0.000000       
наши                          0.000000       0.000000       
нашли                         0.000000       0.000000       
неё                           4.605170       0.014302       
новости                       0.000000       0.000000       
новые                         0.000000       0.000000       
новый                         0.000000       0.000000       
нормальным                    3.506558       0.010890       
нормы                         3.506558       0.010890       
носители                      0.000000       0.000000       
ноутбуки                      0.000000       0.000000       
нужны                         0.000000       0.000000       
нынешняя                      4.605170       0.014302       
обзоры                        0.000000       0.000000       
обработки                     0.000000       0.000000       
образцы                       0.000000       0.000000       
обратное                      4.605170       0.014302       
объявлена                     0.000000       0.000000       
ограничений                   2.659260       0.008259       
ограничения                   3.506558       0.010890       
ограничить                    4.605170       0.014302       
одноклассник                  0.000000       0.000000       
одобрения                     3.912023       0.012149       
орбите                        0.000000       0.000000       
ос                            0.000000       0.000000       
осуществляться                4.605170       0.014302       
отдадут                       0.000000       0.000000       
отечественного                0.000000       0.000000       
отказа                        0.000000       0.000000       
отказались                    0.000000       0.000000       
отключили                     0.000000       0.000000       
официального                  3.218876       0.009997       
очень                         0.000000       0.000000       
очередной                     4.605170       0.014302       
очередь                       3.506558       0.010890       
ошибку                        0.000000       0.000000       
первую                        2.995732       0.009304       
переговорах                   4.605170       0.014302       
переднего                     0.000000       0.000000       
пересмотреть                  2.813411       0.008737       
период                        0.000000       0.000000       
периферия                     0.000000       0.000000       
персональные                  0.000000       0.000000       
персональных                  0.000000       0.000000       
пиар                          0.000000       0.000000       
пк                            0.000000       0.000000       
плане                         0.000000       0.000000       
планирует                     1.714798       0.005325       
планшеты                      0.000000       0.000000       
платформа                     0.000000       0.000000       
пн                            0.000000       0.000000       
подвел                        0.000000       0.000000       
поднял                        0.000000       0.000000       
подробнее                     0.000000       0.000000       
поиск                         0.000000       0.000000       
пока                          0.000000       0.000000       
полезные                      0.000000       0.000000       
политика                      0.000000       0.000000       
политикой                     0.000000       0.000000       
полноприводными               0.000000       0.000000       
получит                       2.525729       0.007844       
полётов                       0.000000       0.000000       
полёты                        2.525729       0.007844       
попробовать                   0.000000       0.000000       
попросила                     3.912023       0.012149       
популярная                    0.000000       0.000000       
популярных                    0.000000       0.000000       
порог                         4.605170       0.014302       
посещать                      0.000000       0.000000       
поставки                      2.525729       0.007844       
поставок                      3.218876       0.009997       
похоже                        2.813411       0.008737       
поэтому                       3.506558       0.010890       
правила                       0.000000       0.000000       
правительство                 3.506558       0.010890       
прайс                         0.000000       0.000000       
представлен                   0.000000       0.000000       
предыдущей                    3.506558       0.010890       
прибавка                      0.000000       0.000000       
привода                       0.000000       0.000000       
призвал                       3.506558       0.010890       
принтеры                      0.000000       0.000000       
причины                       0.000000       0.000000       
пробизнес                     0.000000       0.000000       
провалила                     3.506558       0.010890       
проведения                    0.000000       0.000000       
программы                     0.000000       0.000000       
продавать                     0.000000       0.000000       
продаваться                   3.506558       0.010890       
